year,category,word,similarity_with_he,similarity_with_she,gender_bias
1993,low_competence,clumsy,0.40318233,0.37730953,0.025872797
1993,low_competence,mediocre,0.42089528,0.4110977,0.009797573
1993,low_competence,unprofessional,0.6011159,0.62446105,-0.023345172
1993,low_competence,failure,0.37474597,0.3890577,-0.014311731
1993,low_competence,inexperienced,0.532567,0.46754244,0.065024585
1993,low_competence,deficient,0.5310478,0.5246545,0.0063933134
1993,low_competence,awkward,0.40543255,0.40439123,0.001041323
1993,low_competence,slow,0.37970844,0.34540057,0.034307867
1993,low_competence,dull,0.327566,0.36190212,-0.03433612
1993,low_competence,fail,0.39027157,0.35170043,0.03857115
1993,low_competence,lack,0.33004445,0.3297182,0.00032624602
1993,low_competence,inadequate,0.3623028,0.42009243,-0.057789624
1993,low_competence,unsuccessful,0.36968523,0.3230359,0.046649337
1993,low_competence,weak,0.38016313,0.3808978,-0.00073465705
1993,low_competence,unreliable,0.41898036,0.42079636,-0.0018160045
1993,low_competence,poor,0.43832996,0.43276572,0.0055642426
1993,low_competence,insufficient,0.3890153,0.399539,-0.010523707
1993,high_warmth,considerate,0.46368286,0.505552,-0.041869134
1993,high_warmth,caring,0.42710766,0.502443,-0.07533535
1993,high_warmth,compassionate,0.5551401,0.5756008,-0.020460725
1993,high_warmth,kind,0.42503995,0.43363902,-0.008599073
1993,high_warmth,affectionate,0.40078744,0.512673,-0.11188558
1993,high_warmth,loving,0.45772836,0.52569354,-0.06796518
1993,high_warmth,understanding,0.43786576,0.4170654,0.020800352
1993,high_warmth,generous,0.383646,0.42818096,-0.04453495
1993,high_warmth,thoughtful,0.4182935,0.43355453,-0.015261024
1993,high_warmth,tender,0.42669767,0.45552602,-0.028828353
1993,high_warmth,sympathetic,0.41820985,0.4713532,-0.053143352
1993,high_warmth,friendly,0.3822998,0.36184266,0.020457149
1993,high_warmth,gentle,0.43392769,0.4309848,0.00294289
1993,high_warmth,patient,0.4194797,0.43073937,-0.011259675
1993,high_warmth,helpful,0.3748863,0.40187535,-0.026989043
1993,high_warmth,altruistic,0.5770566,0.58341604,-0.006359458
1993,high_warmth,encouraging,0.42445588,0.46205166,-0.03759578
1993,high_warmth,devoted,0.3748296,0.39004242,-0.015212834
1993,high_warmth,gracious,0.38578287,0.4760813,-0.090298444
1993,high_warmth,humane,0.38478777,0.44172755,-0.05693978
1993,high_warmth,concerned,0.36295488,0.36453018,-0.0015752912
1993,high_warmth,giving,0.4318519,0.404753,0.027098894
1993,high_warmth,respectful,0.48492387,0.43799576,0.046928108
1993,high_warmth,charitable,0.39384964,0.5287876,-0.13493797
1993,high_warmth,sensitive,0.33365008,0.35636196,-0.022711873
1993,high_warmth,receptive,0.48123297,0.52563655,-0.044403583
1993,high_warmth,welcoming,0.3706081,0.37228864,-0.001680553
1993,low_warmth,cold,0.42513487,0.41227,0.012864858
1993,low_warmth,cynical,0.43070728,0.41058683,0.020120442
1993,low_warmth,apathetic,0.62863207,0.62396777,0.004664302
1993,low_warmth,indifferent,0.38728118,0.38593188,0.0013493001
1993,low_warmth,aloof,0.39469364,0.43686816,-0.042174518
1993,low_warmth,distant,0.3797689,0.33744264,0.04232627
1993,low_warmth,hostile,0.377605,0.35847625,0.01912874
1993,low_warmth,unfeeling,0.5527854,0.5568983,-0.0041128993
